Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Science Graduate/Undergraduate - Immed Start!,$97K - $141K (Glassdoor Est.),"Be part of the Award Winning CIMIC Graduate Program
CIMIC Group invests in future leaders by providing graduates with exposure to a global organisation across multiple industries. The CIMIC Group graduate program gives graduates the opportunity to learn and develop whilst working on some of the worlds’ most iconic construction, mining, mineral processing, services, and public private partnership projects – you’ll be part of something BIGGER.
Graduates enter the program working at one of the CIMIC Group Operating Companies: CPB Contractors, Leighton Asia, Sedgman, UGL or EIC Activities. Over the course of the program rotations and industry exposure activities are also available at CIMIC and Pacific Partnerships.
Graduates receive structured, on-the-job training, guided learning plans and leadership mentoring. Over the two-year program, you will experience two one-year rotations with placements in various roles, projects or CIMIC Group companies and be building your career.",3.8,"UGL Limited
3.8",North Shore,5001 to 10000 Employees,1984,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
Research Associate - Data Science,$97K - $141K (Glassdoor Est.),"Job no: 510607
Work type: Full time
Location: Sydney, NSW
Categories: Post Doctoral Research Associate
One of Australia’s leading research & teaching universities
Vibrant campus life with a strong sense of community & inclusion
Enjoy a career that makes a difference by collaborating with & learning from the best
At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.
THIS ROLE IS LOCATED IN SYDNEY, AUSTRALIA.",4.2,"University of New South Wales
4.2",Sydney,1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Graduate Data Science - Brisbane (Corporate),$97K - $141K (Glassdoor Est.),"Job Number:
82295
Work type:
Permanent - Full Time
Location:
Brisbane
Categories:
Information Technology
Aurizon is seeking Graduates for our 2023 Graduate Campaign!
Our Graduates are permanent employees at Aurizon and this program provides an opportunity to develop technical and leadership capability across areas of our business. Graduates are offered diverse opportunities, flexibility, building of networks, professional challenges and a supportive career path in a top 100 ASX listed company. This program will build strong foundations for a successful future.",3.7,"Aurizon
3.7",Brisbane,1001 to 5000 Employees,2009,Company - Public,Taxi & Car Services,Transportation & Logistics,$2 to $5 billion (USD)
Consulting - Data & AI - 2022/23 Summer Vacationer Program (Canberra),$97K - $141K (Glassdoor Est.),"Date: 18-Jul-2022

Location:
Canberra, ACT, AU

Department: Consulting

Description:
Job Requisition ID: 24461

Be part of Australia’s largest cohort of Summer Vacationers – meaning you’ll have a community of other students to lean on and learn from!
Gain invaluable experience through a 3-8 week paid internship at a top-tier consulting firm
Get involved in real client work that’s meaningful and purpose-led, developing and building your skills along the way.

to help our clients make data-driven decisions, and to automate processes wherever it makes the most sense. To sum it up, we help our clients work smarter.

What will you get to do?
Join our Data & AI team, you’ll get to work with emerging tech like robotics, intelligent automation, and machine learning to redesign knowledge-based work. Harness your creativity to design and implement next-gen solutions to help our clients better manage, protect, share and innovate with their data. By joining us, you’ll be trained on a variety of methods and tools including advanced visualisation, rapid prototyping, Natural Language Processing (NLP) and text analytics, real-time decisioning, machine learning, the list goes on. You’re probably look at that list and thinking – “I don’t know half of those things!” Well, that’s the point isn’t it? We’re here to train you. You just need to be hungry and willing to learn!

Your future starts with us.
Our team of experts are constantly curious and excited about combining our wonderful array of tech expertise to transform data into our clients’ most valuable assets, helping them work smarter. Our team is supported with resources, training and tools they need to excel at their work, along with the freedom and power to create their own paths forward to make a difference.

Enough about us, let’s talk about you.


Has a STEM (Science, Tech, Engineering, Maths), or Business/Finance/Commerce background)

Thrives in collaborative environments

Enjoys working on ambiguous and fuzzy problems

Can think logically and laterally

If you’re nodding like crazy because this sounds exactly like you – apply now!

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space.",4.0,"Deloitte
4.0",Canberra,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
Data Scientist,$97K - $141K (Glassdoor Est.),"Maltem is a community of 1,200+ passionate individuals dedicated to innovation, new technologies, data, and digital transformation projects.
Founded in 2001 and located in 11 different countries, our footprint covers France, Singapore, Hong Kong, Vietnam, Luxembourg, Belgium, Madagascar, Morocco, US, Canada, and Australia. Our expertise consists of 18 years of market knowledge into the business organization, digital practices, agile, data management, and innovation.
Our Australian operations are growing rapidly, and we are partnering with local blue-chip and multinational companies on truly transformational engagements
About the Opportunity
We are looking for experienced data scientists to work on a range of projects for our clients.",3.8,"MALTEM Australia
3.8",Sydney,1001 to 5000 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$50 to $100 million (USD)
Data Scientist,$97K - $141K (Glassdoor Est.),"Job description
Data Scientist Skills
Programming Skills – knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig is desirable. Familiarity with Scala, Java, or C++ is an added advantage.
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. Proficiency in statistics is essential for data-driven companies.
Machine Learning – good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests.
Strong Math Skills (Multivariable Calculus and Linear Algebra) - understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques.",-1,GoTech Solutions Pty Ltd,Sydney,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Junior Data Analyst - Western Public Health Unit,$97K - $141K (Glassdoor Est.),"Job Description
Location: Melbourne | Western Metropolitan
Job type: Not provided
Organisation: Western Health
Salary: Salary not specified
Occupation: Health and Allied Health
Reference: 46631",3.9,"Western Health
3.9",Melbourne,5001 to 10000 Employees,-1,Hospital,-1,-1,Unknown / Non-Applicable
Graduate Data Consultant (Canberra based),$97K - $141K (Glassdoor Est.),"Kick start your tech career by joining our team as a Graduate Data Consultant and learning from an extremely talented bunch of technologists, both on and off the job.
Kickstart your career in technology consulting
Learn from an experienced team of technologists
Friendly, fun, and flexible team environment
Our Consultants play a key role in delivering a wide range of services to our clients, by providing technical expertise. Tasks can be varied across projects from scripting to data preparation and curation, Machine Learning model validation, reporting, dashboard production, and report automation.
This is a fantastic opportunity for someone looking to launch their career within the Data and Research space. The structure of the team allows you to work closely alongside the entire team and other key staff gaining mentorship, knowledge, and experience.",4.7,"KJR
4.7",Canberra,51 to 200 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Masking Specialist,$97K - $141K (Glassdoor Est.),"About Us :
GOSOL, IT consulting and Staffing organization, can help you enhance Technology, Digital, Project and Business Transformation. Guided by integrity and trust, we believe in offering an unparalleled experience as your Tech of choice. For businesses, this means providing you with access to the quality solution.
Find us at - https://gosol.com.au/
Job Description
Roles& Responsiblities:
Qualification in Computer Science or similar discipline",-1,GoTech Solutions Pty Ltd,Melbourne,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Operations Analyst,$97K - $141K (Glassdoor Est.),"Why join Kalibrate?

We are the technology company whose software platforms provide microlocal insight so organizations can make location-critical business decisions with confidence.
We exist to help organizations make better decisions – so they can identify opportunities, understand risk, invest smarter, boost profits, and outperform the competition.
With the power of sophisticated data science, machine learning, and AI, we analyze countless data sources to identify the information that matters – enabling our customers to truly know their market and answer their most important business questions.
We want to support a world without guesswork – where every organization has access to the insights that drive economic growth and shape successful communities, today and tomorrow.
The Kalibrate team works across the globe, supporting 800+ customers in more than 70 countries.",4.0,"Kalibrate
4.0",Remote,51 to 200 Employees,1993,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
